timestamp,aqi_index,co,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed
2025-12-13 23:00:00,3,529.27,11.33,47.62,3.79,40.15,46.55,9.02,3.1,50,1.9
2025-11-25 06:00:00,4,754.55,17.76,81.81,7.04,65.1,77.42,14.9,5.2,20,1.6
2025-11-25 08:00:00,3,262.61,4.29,104.39,2.02,31.33,35.32,4.06,6.6,19,2.6
2025-11-25 16:00:00,4,751.63,28.62,62.76,10.23,60.72,76.4,22.85,2.1,27,2.4
2025-11-26 11:00:00,3,315.88,10.77,84.3,3.16,25.19,30.23,6.82,5.3,30,0.5
2025-12-03 11:00:00,3,421.01,11.95,93.23,5.02,47.23,53.09,5.37,2.3,44,5.4
2025-12-20 11:00:00,2,244.83,4.67,80.47,1.54,23.09,26.17,1.9,9.3,43,4.1
2025-12-21 21:00:00,2,306.88,5.96,50.52,0.95,14.15,15.95,1.45,3.1,91,1.7
2025-12-23 18:00:00,4,945.15,29.25,44.16,12.54,74.26,89.65,18.63,-1.3,58,4.2
2025-12-24 19:00:00,5,853.21,21.84,65.54,11.42,78.12,90.49,17.54,-6.7,46,5.6
2025-12-10 00:00:00,4,698.08,14.53,65.53,13.43,57.22,66.81,22.52,0.3,56,1.3
2025-12-12 11:00:00,4,505.85,16.75,90.65,6.46,57.22,64.41,7.92,3.1,42,0.4
2025-12-14 18:00:00,3,641.0,19.37,47.14,6.1,45.45,54.31,9.75,5.0,50,0.8
2025-12-31 15:00:00,3,540.71,17.48,49.77,3.98,37.65,44.0,5.03,0.1,72,3.6
2025-12-19 10:00:00,2,252.46,4.72,88.78,2.33,23.77,26.9,2.48,7.3,47,1.9
2025-12-21 11:00:00,2,313.87,8.15,56.98,0.98,13.43,14.63,0.71,5.3,85,1.8
2025-12-23 00:00:00,3,662.52,16.97,31.12,3.23,35.94,42.05,10.45,0.4,55,3.4
2025-12-25 04:00:00,4,831.71,24.03,56.8,11.47,60.84,73.91,18.75,-6.0,44,3.8
2026-01-05 23:00:00,4,952.69,20.51,57.95,10.4,57.79,64.61,14.73,-9.4,71,2.9
2026-01-07 09:00:00,3,519.72,10.71,110.82,5.29,39.77,43.61,4.44,-4.6,51,1.9
2025-12-30 08:00:00,2,316.16,6.55,74.56,1.53,15.49,17.88,2.28,4.2,63,5.7
2025-12-31 09:00:00,2,234.07,3.75,77.26,0.99,17.63,19.62,1.06,3.5,66,6.1
2026-01-08 09:00:00,4,493.4,9.26,135.28,6.17,70.07,76.16,5.23,-3.3,38,2.6
2026-01-13 00:00:00,5,818.18,15.5,68.55,12.1,78.16,85.97,13.14,-6.1,51,5.5
2026-01-16 00:00:00,5,785.14,14.28,74.23,12.57,76.85,84.74,13.35,-0.6,53,3.3
2026-01-16 12:00:00,4,602.49,19.68,71.06,2.6,58.49,63.84,2.84,4.7,64,1.7
2026-01-16 15:00:00,4,965.25,32.8,43.86,8.74,74.52,85.18,9.53,3.9,58,2.0
2026-01-23 21:00:00,3,831.25,18.38,54.12,4.47,44.32,48.65,6.23,-5.0,91,1.1
2026-01-26 04:00:00,4,1063.0,29.9,68.15,11.55,58.43,69.29,16.05,-4.1,51,4.1
2026-01-31 21:00:00,3,749.34,15.36,57.18,6.05,48.2,52.61,7.02,-3.1,50,3.4
2026-02-02 23:00:00,3,926.16,20.79,70.25,9.35,42.73,48.62,11.89,-5.2,62,4.1
2026-01-27 14:00:00,2,367.18,10.13,75.66,1.73,18.97,20.81,1.73,-0.2,88,2.3
2026-02-04 03:00:00,4,1118.4,31.0,54.89,13.52,0.0,0.0,17.19,-4.7,51,1.6
2026-02-05 17:00:00,5,1257.23,35.44,85.07,20.45,129.85,149.89,22.04,-3.7,39,4.2
2026-02-06 15:00:00,5,942.88,34.44,57.92,9.26,85.26,100.3,10.82,1.4,36,3.7
2026-02-19 10:00:00,5,480.65,7.19,162.83,4.72,91.96,98.61,3.45,4.0,51,1.5
2026-02-17 17:00:00,5,1004.65,23.77,92.59,11.29,117.6,134.92,12.68,-1.8,45,4.9
2026-02-18 10:00:00,5,519.41,7.58,157.43,4.44,94.61,102.03,3.8,3.4,45,1.4
2026-03-02 21:00:00,4,600.11,12.56,86.14,5.02,57.95,68.26,14.76,-2.2,29,6.2
2026-03-05 12:00:00,3,260.73,6.64,118.05,2.79,40.79,59.17,5.93,10.9,50,3.3
2026-03-05 18:00:00,4,620.35,18.93,66.47,4.6,59.96,82.92,10.81,7.1,50,3.7
2026-02-28 10:00:00,4,348.59,3.82,140.85,2.76,55.36,67.43,2.32,5.5,54,4.2
2026-03-03 07:00:00,3,362.7,6.43,137.9,4.14,46.63,54.45,7.47,5.7,43,5.1
2026-03-12 23:00:00,3,579.56,14.33,50.07,3.38,28.17,34.35,12.45,1.1,65,2.7
2026-03-13 04:00:00,2,438.39,10.93,68.09,3.06,20.89,26.41,6.03,2.7,60,5.2
2026-03-11 09:00:00,2,239.37,4.73,93.76,0.86,17.62,20.38,1.27,8.0,63,7.7
2026-03-21 20:00:00,3,577.32,14.06,75.23,5.28,37.72,45.61,14.45,2.4,64,0.9
2026-04-07 16:00:00,2,406.38,15.63,46.03,2.31,15.59,24.37,11.67,6.2,51,2.8
2026-04-10 23:00:00,3,431.92,9.39,78.23,3.07,27.28,34.81,56.01,1.5,68,4.5
2026-04-17 03:00:00,3,495.91,15.36,35.98,1.29,25.49,34.1,4.4,7.3,65,6.6
2026-04-23 16:00:00,3,433.48,19.17,44.17,3.62,26.66,45.25,28.47,9.8,44,2.9
2026-04-29 12:00:00,2,265.14,11.59,65.77,1.72,12.46,15.3,12.8,12.4,57,3.1
2026-04-30 07:00:00,2,146.7,1.11,78.24,0.51,5.51,6.6,2.01,10.9,72,1.9
2026-05-01 02:00:00,2,441.48,12.09,34.69,2.54,19.75,28.04,43.85,7.4,79,0.9
2026-05-01 08:00:00,2,148.44,0.7,86.44,0.52,5.87,7.21,3.65,12.7,57,0.6
2026-05-07 06:00:00,3,150.06,0.96,105.58,0.71,16.78,30.83,8.42,16.3,30,3.8
2026-05-10 12:00:00,2,140.47,2.14,99.26,0.92,17.84,40.37,10.12,22.4,22,4.5
2026-05-10 16:00:00,2,293.0,11.62,47.59,1.36,23.32,45.62,33.38,15.9,32,1.0
2026-05-14 09:00:00,3,183.7,2.49,109.94,0.81,15.18,18.62,14.67,15.4,43,7.1
2026-04-03 05:00:00,2,305.94,10.59,73.89,2.51,15.83,20.92,16.51,9.3,48,5.1
2026-04-10 07:00:00,3,305.63,4.04,131.34,2.5,33.14,39.14,20.49,6.8,58,6.4
2026-04-17 18:00:00,2,382.72,12.42,43.06,1.01,17.7,23.59,4.28,6.8,65,3.6
2026-04-20 13:00:00,2,194.25,5.98,86.54,1.27,13.75,29.53,9.35,9.2,45,5.3
2026-04-20 17:00:00,3,431.09,16.96,62.58,5.0,29.6,52.11,40.15,6.8,54,4.0
2026-04-21 15:00:00,2,366.42,16.5,74.28,4.34,23.69,42.35,33.04,7.6,48,4.2
2026-04-22 16:00:00,3,396.12,15.2,55.9,2.99,29.8,46.5,22.67,7.9,43,3.6
2026-04-27 16:00:00,2,392.39,16.01,34.93,2.23,14.37,25.4,19.67,8.7,51,3.6
2026-05-04 14:00:00,2,230.66,8.34,94.86,1.38,11.41,16.64,21.62,9.2,58,2.2
2026-05-08 03:00:00,3,374.88,9.33,43.59,1.87,25.25,54.19,43.78,12.4,36,3.6
2026-05-15 13:00:00,2,244.18,11.42,84.07,1.33,12.24,17.99,25.63,16.6,49,2.2
2026-03-20 23:00:00,3,718.21,16.69,50.59,3.62,28.96,34.44,14.11,-2.7,57,5.9
2026-03-23 08:00:00,2,327.27,7.25,99.78,2.35,17.22,20.84,5.16,6.5,57,4.9
2026-03-23 12:00:00,3,224.87,3.47,107.14,1.07,11.56,13.42,1.96,6.6,46,3.3
2026-03-24 17:00:00,4,778.54,22.64,93.97,10.24,66.59,79.96,19.96,0.5,39,6.4
2026-03-25 12:00:00,3,254.96,6.62,104.21,1.89,19.62,22.78,3.85,5.4,39,4.2
2026-03-31 16:00:00,3,580.74,23.3,48.1,7.03,26.78,39.25,14.21,4.8,49,4.2
2026-03-31 18:00:00,3,666.39,23.89,44.35,5.81,28.41,39.37,13.01,4.1,47,4.6
2026-04-07 03:00:00,3,593.48,17.18,59.55,4.78,45.42,57.9,50.64,1.9,64,5.4
2026-04-10 14:00:00,2,317.32,13.56,89.23,2.23,15.74,24.81,18.32,3.5,70,6.4
2026-04-21 08:00:00,2,129.48,0.69,98.19,0.71,14.17,28.4,3.87,10.6,47,6.6
2026-04-29 13:00:00,2,281.1,13.54,61.66,1.89,13.12,16.28,13.57,11.8,59,3.8
2026-04-29 21:00:00,2,397.58,12.48,29.25,1.29,19.08,24.81,17.4,7.9,72,3.9
2026-04-03 00:00:00,2,353.91,7.37,75.12,2.76,23.2,29.38,49.72,5.0,47,4.7
2025-11-24 11:00:00,3,331.74,10.66,97.35,3.89,29.91,35.83,8.53,5.2,33,0.0
2025-11-26 14:00:00,3,629.15,29.84,57.8,8.1,41.57,53.16,18.93,2.8,30,1.1
2025-11-27 06:00:00,4,706.68,16.56,74.39,7.42,56.7,67.93,13.26,7.2,11,2.6
2025-11-17 04:00:00,3,663.29,20.15,73.3,9.14,46.2,59.5,27.09,9.2,19,4.3
2025-11-19 16:00:00,4,744.57,28.17,50.65,6.55,56.85,71.39,15.53,6.3,43,0.5
2025-12-02 04:00:00,5,973.79,27.02,51.89,13.68,75.25,89.01,20.1,2.6,48,2.1
2025-11-30 16:00:00,3,540.08,19.22,59.13,6.32,40.07,50.36,16.43,4.6,21,1.4
2025-12-14 09:00:00,2,190.78,1.22,91.76,1.0,22.54,24.77,1.15,7.3,54,5.3
2025-12-20 01:00:00,3,604.19,14.14,57.35,9.98,46.48,53.66,18.22,4.8,40,2.0
2025-12-20 02:00:00,3,643.06,17.46,55.74,10.95,48.69,56.93,19.32,4.7,41,2.0
2025-12-25 23:00:00,4,696.48,13.12,63.25,9.24,62.36,70.78,15.75,-2.4,34,4.3
2025-12-26 12:00:00,4,598.7,23.34,68.79,5.51,55.57,63.82,7.14,0.2,47,3.2
2025-12-28 13:00:00,3,523.11,21.47,51.57,4.95,38.28,45.55,8.02,0.9,75,4.5
2026-01-02 10:00:00,5,618.64,14.51,118.42,7.61,75.81,81.9,6.53,-0.9,46,5.7
2026-01-02 17:00:00,5,1300.82,35.65,70.87,20.23,129.57,145.45,20.52,-8.3,61,4.8
2026-01-06 12:00:00,3,689.03,27.33,71.72,7.51,40.76,47.68,8.04,-5.4,57,2.9
2026-01-14 01:00:00,4,731.37,14.4,81.64,12.48,73.78,82.67,13.55,-8.9,65,4.9
2025-12-24 02:00:00,4,778.72,21.4,47.03,11.81,58.46,70.27,20.33,-4.5,54,2.9
2025-12-29 03:00:00,3,814.34,26.62,33.9,9.91,42.16,51.49,18.07,-0.5,56,3.5
2026-01-11 03:00:00,4,707.55,20.2,80.16,10.32,60.24,69.08,11.94,-12.2,62,3.6
2026-01-12 13:00:00,5,858.84,31.66,73.96,8.58,87.55,98.04,8.28,3.8,43,3.5
2026-01-14 22:00:00,5,902.33,15.68,89.89,14.98,100.21,110.08,15.35,-7.1,49,4.6
2026-01-26 23:00:00,4,826.0,17.0,44.99,3.56,56.97,61.27,5.53,-0.9,69,3.8
2025-12-02 05:00:00,5,1007.17,22.75,59.84,10.71,81.09,94.78,15.18,4.5,48,2.9
2025-12-02 12:00:00,3,507.95,20.24,72.24,5.09,46.25,53.43,6.56,3.3,52,0.3
2025-12-08 16:00:00,4,861.53,30.57,40.7,8.03,62.02,75.31,13.55,-0.1,73,1.3
2025-12-11 07:00:00,3,447.46,8.97,91.51,5.04,47.64,54.61,6.18,4.4,55,3.7
2025-12-17 17:00:00,4,937.99,32.39,31.49,11.25,65.85,80.78,14.93,5.2,38,1.0
2025-12-28 00:00:00,3,498.05,9.61,65.99,7.58,42.62,49.19,15.78,-3.5,43,3.8
2026-01-04 04:00:00,4,958.53,24.69,57.02,7.89,61.54,70.37,10.95,-7.3,63,6.6
2026-01-05 02:00:00,4,887.51,20.65,51.75,7.99,55.03,62.7,10.51,-14.7,66,9.4
2026-01-08 22:00:00,5,780.77,14.53,93.12,13.01,77.75,86.67,13.97,-12.8,62,5.1
2026-01-09 02:00:00,4,795.48,19.76,89.38,14.69,73.04,82.94,15.68,-13.4,65,4.5
2026-01-10 13:00:00,5,775.7,25.4,112.24,11.89,92.7,101.19,11.27,-7.1,47,6.5
2026-01-13 13:00:00,5,916.35,30.78,98.3,13.49,105.28,116.51,12.81,-2.5,61,7.1
2026-01-14 05:00:00,5,1093.89,25.85,82.73,16.76,99.95,114.17,18.52,-2.5,55,2.1
2026-01-31 04:00:00,4,883.6,22.81,61.49,14.28,65.16,74.92,15.78,-2.6,52,3.4
2026-02-19 23:00:00,4,643.96,12.4,89.27,7.48,66.2,74.58,9.17,-5.7,31,3.2
2026-02-25 18:00:00,5,892.76,22.89,71.77,7.69,88.13,102.88,9.35,1.7,35,5.3
2026-03-03 04:00:00,4,749.42,20.08,94.22,7.37,59.74,73.36,18.72,1.6,32,5.5
2026-03-06 04:00:00,4,791.29,22.31,54.9,6.39,61.71,85.5,15.72,8.4,58,3.8
2026-03-15 02:00:00,3,472.42,10.8,61.61,1.79,31.79,37.07,6.95,2.9,64,3.3
2026-03-20 12:00:00,2,322.06,10.32,82.58,1.72,13.05,15.3,3.5,6.6,54,1.1
2026-03-24 13:00:00,3,565.52,20.92,115.01,6.21,48.39,56.51,11.81,5.6,32,5.9
2026-03-25 05:00:00,4,598.21,10.44,113.47,3.46,59.47,67.7,8.06,4.5,51,5.5
2026-03-31 01:00:00,3,547.16,14.2,39.57,3.61,27.94,33.39,11.18,4.5,84,3.5
2026-04-03 08:00:00,2,171.76,3.62,75.33,0.92,7.8,10.08,3.42,10.8,41,4.3
2026-04-05 18:00:00,3,534.66,14.79,80.2,4.35,29.03,39.0,48.71,2.6,62,4.6
2026-04-09 18:00:00,3,576.37,20.61,61.51,4.32,30.35,41.38,35.7,3.7,58,2.2
2026-04-10 04:00:00,3,408.03,8.82,96.3,3.85,26.14,32.72,29.31,3.9,62,4.8
2026-04-15 19:00:00,3,414.04,13.4,81.5,4.54,31.63,44.52,44.72,3.8,39,6.5
2026-04-18 06:00:00,2,157.89,1.92,80.38,0.49,7.86,12.55,1.93,9.5,56,6.3
2026-04-25 10:00:00,2,131.69,1.35,71.72,0.44,5.49,8.58,4.08,12.8,51,7.4
2026-04-30 11:00:00,2,163.07,3.03,75.7,0.8,5.82,7.6,5.41,11.1,73,2.0
2026-04-30 20:00:00,2,431.17,13.44,27.98,1.42,19.95,27.18,16.76,7.9,85,0.4
2026-05-03 23:00:00,2,324.82,9.25,40.85,0.94,16.96,25.05,41.25,6.1,69,1.5
2026-05-08 19:00:00,3,368.4,15.38,60.88,3.34,27.17,61.05,75.4,11.2,28,0.6
2026-05-09 15:00:00,3,269.59,12.11,87.65,2.27,23.92,55.63,51.54,15.4,27,1.4
2026-05-19 22:00:00,3,373.27,11.13,42.55,1.0,28.59,44.6,33.9,13.99,63,3.05
2026-02-07 17:00:00,5,941.22,21.69,107.89,12.36,111.18,126.66,14.58,-6.8,48,6.5
2026-02-14 02:00:00,5,771.96,17.58,81.97,9.3,84.69,95.38,11.58,-5.5,56,5.7
2026-02-14 20:00:00,5,708.81,13.39,101.11,7.93,86.14,97.48,10.12,-7.7,53,5.9
2026-02-18 05:00:00,5,962.61,21.41,86.96,9.43,85.11,99.93,11.82,0.7,38,2.1
2026-02-20 09:00:00,5,475.63,6.88,170.11,5.08,93.79,100.92,3.4,3.0,33,1.5
2026-02-24 23:00:00,4,690.95,13.78,85.88,6.8,70.09,78.54,8.63,-2.0,32,4.0
2026-03-14 16:00:00,3,484.34,16.35,65.98,5.05,31.97,42.81,12.75,3.3,50,3.1
2026-03-28 11:00:00,2,176.21,3.06,83.61,0.94,8.89,10.68,2.2,7.6,49,5.6
2026-04-01 08:00:00,2,145.36,1.24,93.0,0.72,6.28,8.95,2.1,6.9,52,5.0
2026-04-01 15:00:00,2,347.56,14.17,52.47,1.58,13.85,22.76,11.24,4.6,52,8.0
2026-04-02 16:00:00,2,415.55,17.06,57.43,4.2,22.57,34.73,28.96,5.1,54,4.3
2026-04-15 16:00:00,3,399.29,15.77,82.72,4.59,28.42,43.48,35.57,4.7,43,6.7
2026-04-16 11:00:00,2,150.56,3.01,97.43,0.77,7.54,13.9,5.2,12.6,37,7.5
2026-04-17 21:00:00,2,289.26,6.61,56.25,0.79,13.79,16.59,3.33,6.2,64,5.4
2026-04-20 15:00:00,2,344.59,14.44,60.74,2.81,20.42,40.34,22.1,7.3,51,5.5
2026-04-22 03:00:00,3,405.07,9.83,57.87,2.85,31.3,49.35,26.83,6.7,54,4.8
2026-05-03 13:00:00,2,196.7,6.65,88.79,0.88,9.61,15.34,20.07,8.6,76,3.3
2026-05-07 01:00:00,2,312.2,9.52,62.3,2.45,20.44,31.79,86.99,8.8,44,0.9
2026-01-19 00:00:00,4,732.1,16.81,53.86,10.25,66.28,75.49,12.56,-4.9,48,5.5
2026-01-19 09:00:00,2,168.51,1.05,96.37,0.96,20.35,23.76,0.43,4.2,51,6.3
2026-01-25 22:00:00,4,753.67,12.09,93.33,9.42,53.05,59.45,12.51,-5.2,55,3.7
2026-01-27 01:00:00,4,811.94,16.78,43.68,3.76,53.73,57.63,5.46,-1.3,79,4.3
2026-02-04 18:00:00,5,1114.75,26.67,97.43,15.55,112.93,129.15,17.66,-7.5,46,5.7
2026-02-06 21:00:00,5,1034.2,29.22,55.99,12.39,85.86,97.13,14.64,-2.2,64,2.4
2026-02-10 23:00:00,4,815.78,17.91,58.77,7.5,54.82,61.04,10.07,-3.6,57,2.1
2026-02-11 10:00:00,4,531.28,11.19,123.36,4.43,59.7,65.34,4.27,3.5,52,5.5
2026-02-16 18:00:00,5,989.97,21.72,103.5,12.92,115.3,131.99,13.94,-1.7,42,4.2
2026-02-19 06:00:00,5,981.01,20.16,117.6,6.62,108.96,122.42,7.78,2.3,50,1.3
2026-03-02 12:00:00,4,321.43,7.11,149.14,3.37,43.28,49.98,6.7,4.8,33,3.7
2026-03-10 02:00:00,3,619.69,17.36,33.93,2.62,33.62,41.0,4.42,6.8,65,5.2
